50 500
29 10 0.1
34 43 0.07142857142857142
48 25 0.08333333333333333
7 10 0.1
29 0 0.08333333333333333
9 25 0.08333333333333333
35 7 0.14285714285714285
41 43 0.07142857142857142
38 5 0.08333333333333333
49 40 0.07692307692307693
20 47 0.1111111111111111
5 21 0.1
18 24 0.125
30 20 0.1
31 26 0.125
27 13 0.1111111111111111
36 29 0.07692307692307693
34 42 0.06666666666666667
20 42 0.06666666666666667
33 38 0.08333333333333333
15 29 0.07692307692307693
22 43 0.07142857142857142
20 16 0.06666666666666667
21 49 0.08333333333333333
1 26 0.125
8 5 0.08333333333333333
13 43 0.07142857142857142
12 27 0.07142857142857142
5 47 0.1111111111111111
21 48 0.1111111111111111
14 43 0.07142857142857142
23 25 0.08333333333333333
43 26 0.125
22 41 0.1111111111111111
43 0 0.08333333333333333
36 27 0.07142857142857142
35 47 0.1111111111111111
45 38 0.08333333333333333
34 8 0.07692307692307693
0 9 0.07142857142857142
5 42 0.06666666666666667
10 6 0.16666666666666666
39 32 0.1
46 34 0.1111111111111111
22 0 0.08333333333333333
13 30 0.1
8 17 0.07142857142857142
7 22 0.0625
7 44 0.16666666666666666
20 40 0.07692307692307693
35 7 0.14285714285714285
36 38 0.08333333333333333
33 37 0.08333333333333333
8 23 0.07142857142857142
32 49 0.08333333333333333
17 23 0.07142857142857142
43 49 0.08333333333333333
35 37 0.08333333333333333
40 28 0.16666666666666666
11 37 0.08333333333333333
35 31 0.1111111111111111
21 0 0.08333333333333333
29 8 0.07692307692307693
24 27 0.07142857142857142
10 12 0.09090909090909091
44 49 0.08333333333333333
10 0 0.08333333333333333
16 24 0.125
9 22 0.0625
6 2 0.14285714285714285
11 2 0.14285714285714285
24 5 0.08333333333333333
0 20 0.1
25 39 0.2
4 22 0.0625
14 27 0.07142857142857142
26 9 0.07142857142857142
29 8 0.07692307692307693
11 40 0.07692307692307693
24 13 0.1111111111111111
22 15 0.125
21 48 0.1111111111111111
40 36 0.2
13 17 0.07142857142857142
41 1 0.1111111111111111
46 34 0.1111111111111111
11 17 0.07142857142857142
49 46 0.09090909090909091
41 25 0.08333333333333333
17 10 0.1
49 47 0.1111111111111111
36 43 0.07142857142857142
40 29 0.07692307692307693
13 23 0.07142857142857142
15 38 0.08333333333333333
37 43 0.07142857142857142
29 19 0.08333333333333333
4 19 0.08333333333333333
21 26 0.125
49 12 0.09090909090909091
37 20 0.1
3 29 0.07692307692307693
14 32 0.1
44 31 0.1111111111111111
37 32 0.1
25 18 0.1111111111111111
8 15 0.125
21 40 0.07692307692307693
27 44 0.16666666666666666
18 3 0.08333333333333333
1 14 0.125
13 12 0.09090909090909091
21 15 0.125
28 9 0.07142857142857142
31 9 0.07142857142857142
12 37 0.08333333333333333
6 32 0.1
19 45 0.2
4 25 0.08333333333333333
25 31 0.1111111111111111
31 42 0.06666666666666667
34 20 0.1
25 40 0.07692307692307693
0 32 0.1
41 21 0.1
28 39 0.2
37 33 0.16666666666666666
2 27 0.07142857142857142
10 8 0.07692307692307693
38 41 0.1111111111111111
12 14 0.125
43 40 0.07692307692307693
20 46 0.09090909090909091
32 38 0.08333333333333333
39 47 0.1111111111111111
10 43 0.07142857142857142
23 0 0.08333333333333333
25 18 0.1111111111111111
0 10 0.1
11 28 0.16666666666666666
19 8 0.07692307692307693
49 36 0.2
30 22 0.0625
22 8 0.07692307692307693
8 34 0.1111111111111111
48 33 0.16666666666666666
19 35 0.2
2 8 0.07692307692307693
40 14 0.125
37 10 0.1
18 44 0.16666666666666666
17 7 0.14285714285714285
10 37 0.08333333333333333
6 29 0.07692307692307693
26 14 0.125
42 37 0.08333333333333333
37 40 0.07692307692307693
27 40 0.07692307692307693
2 29 0.07692307692307693
18 33 0.16666666666666666
43 19 0.08333333333333333
11 22 0.0625
14 1 0.1111111111111111
1 22 0.0625
41 46 0.09090909090909091
30 43 0.07142857142857142
28 2 0.14285714285714285
20 17 0.07142857142857142
15 9 0.07142857142857142
42 1 0.1111111111111111
24 42 0.06666666666666667
3 22 0.0625
32 30 0.1
45 8 0.07692307692307693
30 14 0.125
13 38 0.08333333333333333
7 33 0.16666666666666666
43 24 0.125
30 33 0.16666666666666666
10 3 0.08333333333333333
24 41 0.1111111111111111
17 9 0.07142857142857142
49 7 0.14285714285714285
23 27 0.07142857142857142
30 12 0.09090909090909091
33 2 0.14285714285714285
30 4 0.1111111111111111
2 13 0.1111111111111111
22 23 0.07142857142857142
29 5 0.08333333333333333
11 17 0.07142857142857142
32 8 0.07692307692307693
19 24 0.125
32 44 0.16666666666666666
9 12 0.09090909090909091
13 37 0.08333333333333333
20 13 0.1111111111111111
1 11 0.16666666666666666
49 42 0.06666666666666667
29 19 0.08333333333333333
18 34 0.1111111111111111
6 16 0.06666666666666667
1 30 0.1
11 16 0.06666666666666667
3 25 0.08333333333333333
46 38 0.08333333333333333
28 11 0.16666666666666666
13 40 0.07692307692307693
12 48 0.1111111111111111
21 49 0.08333333333333333
47 20 0.1
42 35 0.2
11 21 0.1
